ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,"Anh Nguyễn Văn A có mong muốn mua chung cư. Giá chung cư là 1.8 tỷ trên căn, ...","Anh Nguyễn Văn A có mong muốn mua chung cư. Giá chung cư là 2 tỷ trên căn, ...","Anh Nguyễn Văn A có mong muốn mua chung cư. Giá chung cư là 2.6 tỷ trên căn, ...","Anh Nguyễn Văn A có mong muốn mua chung cư. Giá chung cư là 2.8 tỷ trên căn, ...","Cần chọn tối thiểu bao nhiêu số trong tập A = {1, 2, 3, …, 2020} để chắc chắn...","Cần chọn tối thiểu bao nhiêu số trong tập A = {1, 2, 3, …, 2022} để chắc chắn...","Cần chọn tối thiểu bao nhiêu số trong tập A = {1, 2, 3, …, 2024} để chắc chắn...","Cần chọn tối thiểu bao nhiêu số trong tập A = {1, 2, 3, …, 2026} để chắc chắn...",TRR-3,TRR-4,TRR-5,Đúng sai về Cây,Đúng sai về Cây,Thuật toán Kruskal,Cho ma trận tìm đồ thị,Cho ma trận tìm đồ thị 2,Chọn cách biểu diễn - trọng số 1,Tính trọng số của cây khung,Tính trọng số của cây khung,Tính trọng số của cây khung,Tính trọng số của cây khung,Thuật toán Kruskal,Thuật toán Kruskal,Thuật toán Kruskal,Thuật toán Kruskal,Thuật toán Prim,Thuật toán Prim,Thuật toán Prim,Tồn tại cây khung,Tồn tại cây khung,Tồn tại đồ thị,DFS 1,DFS 2,DFS 3,DFS 4,DFS Path 1,DFS Path 2,DFS Path 4,DFS Path 5,Đường đi 1,Đường đi 2,Đường đi 3,Đường đi 1,MultiChoice_vohuong 1,MultiChoice_vohuong 2,Xác định đỉnh trong tìm đường 1,Xác định đỉnh trong tìm đường 2,Xác định đỉnh trong tìm đường 4,Xác định đỉnh trong tìm đường 5,Permutation 2,Permutation 1,Câu 1,Câu 1 (copy),Câu 1 (copy),Nhận diện topology,TB - Ly thuyet Dijkstra,Ly thuyet Dijkstra,bipartite graph DEF,bipartite graph DEF (copy),bipartite graph DEF (copy),bipartite graph DEF1,bipartite graph DEF1,bipartite graph DEF1,Graph đầy đủ,Graph đầy đủ (copy),Ly thuyet,Ly thuyet,"Số lượng dãy tăng, giảm (2)","Số lượng dãy tăng, giảm (3)",Câu hỏi 1,Câu hỏi 3,Câu hỏi 5,Câu hỏi 1,Câu hỏi 2,Câu hỏi 3,Câu hỏi 4,Câu hỏi 2,Câu hỏi 3,Câu hỏi 4,Câu hỏi 5,Câu hỏi 1,Câu hỏi 2,Câu hỏi 3,Câu hỏi 4,Câu hỏi 3,Câu hỏi 4,Câu hỏi 5,Lát cắt cực tiểu,Lát cắt cực tiểu,Lát cắt cực tiểu,Tính luồng cực đại,Tính luồng cực đại,Tính luồng cực đại,Tính luồng cực đại,Đúng sai về Cây,Đúng sai về Cây,Chia kẹo - instance 1,Chia kẹo - instance 2,Chia kẹo - instance 3,Chia kẹo - instance 4,Chia kẹo - instance 5
21907,Kip1,Chưa làm,0,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21908,Kip1,23.5,31,75.81,Không có,Không có,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,0.5,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,2,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có
21909,Kip1,24,31,77.42,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,0.5,Không có,Không có,1,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,1,Không có,0.5,Không có,Không có,Không có,2,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21910,Kip1,17,32,53.12,Không có,Không có,Không có,0,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,0,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,0,0,Không có,Không có,0,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,2,Không có,Không có,Không có,1,Không có,Không có,Không có
21912,Kip1,28.5,31,91.94,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,0,Không có,1,Không có,Không có,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,0.5,Không có,Không có,Không có,2,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có
21916,Kip1,20.25,32,63.28,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,0.25,Không có,Không có,Không có,Không có,Không có,1
21922,Kip1,18.5,31,59.68,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0.5,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,0,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Chưa làm,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có
21924,Kip1,18.5,31,59.68,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,Chưa làm,Không có,1,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Chưa làm,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Chưa làm,Không có,Không có,0.5,Không có,2,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1
21928,Kip1,22,31,70.97,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,0,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,2,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21932,Kip1,20.5,31,66.13,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,0,1,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,2,0.5,Không có,Không có,Không có,Không có,1,Không có
21934,Kip1,21.5,31,69.35,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,0,Không có,0,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,0.5,Không có,Không có,Không có,Không có,Không có,2,1,Không có,Không có,1,Không có,Không có,Không có
21935,Kip1,22,31,70.97,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,1,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có
21937,Kip1,18.5,32,57.81,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,0,Không có,Không có,0.5,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có,Không có,0,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,0,1,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,2,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có
21940,Kip1,18,31,58.06,Không có,Không có,Không có,0,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,0,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,2,Không có,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có
21943,Kip1,17.5,32,54.69,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,0,Không có,0,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,0.5,Không có,1,Không có,Không có,Không có
21944,Kip1,19,32,59.38,Không có,Không có,1,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,Không có,Không có,0,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có,Không có,1,Không có,0,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,2,Không có,1,Không có,Không có,0,Không có,Không có
21945,Kip1,26,31,83.87,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,2,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
21950,Kip1,25.5,31,82.26,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,0.5,Không có,Không có,Không có,Không có,2,Không có,Không có,Không có,1,Không có,Không có,Không có
